Cross,Generation,ID,standard_length,caudal_peduncle_pixels,middle_ray_pixels,longest_ray_pixels,outside_ray_pixels,Notes/Observation
MmAk,F2,307,235.306,52.751,76.355,91.738,66.997,
MmAk,F2,308,239.309,30.668,63.837,75.24,59.778,
MmAk,F2,309,237.895,47.011,79.048,95.453,69.754,
MmAk,F2,310,237.609,38.194,69.49,81.61,66.463,
MmAk,F2,311,238.401,30.647,66.592,76.76,62.099,image not CB
MmAk,F2,312,234.12,33.334,64.438,78.415,62.293,
MmAk,F2,313,236.136,48.416,86.268,96.528,79.151,
MmAk,F2,314,237.508,36.26,65.699,84.53,68.087,
MmAk,F2,315,237.513,41.798,74.591,84.464,71.555,
MmAk,F2,316,238.513,51,84.744,102.771,95.945,fan tail
MmAk,F2,317,237.502,41.75,67.812,83.05,72.882,
MmAk,F2,318,236.671,55,98.632,114.785,99.287,
MmAk,F2,319,237.668,37.253,67.439,73.677,64.53,damaged? But does not interfere
MmAk,F2,320,238.383,41.75,82.288,94.698,88.562,
MmAk,F2,321,237.973,50.668,84.571,105.053,96.731,
MmAk,F2,322,239.502,40.679,80.333,90.216,81.247,
MmAk,F2,323,240.588,40.559,77.201,88.503,75.707,
MmAk,F2,324,239.209,43.25,79.26,91.927,84.995,
MmAk,F2,325,240.7,42.25,76.026,84,72.52,Had to use the lower half because there was damage on the upper half
MmAk,F2,326,243.035,43,76.548,93.098,82.449,
MmAk,F2,327,241.019,31.293,66.114,76.716,70.72,
MmAk,F2,328,241.274,41.75,74.653,89.626,81.565,
MmAk,F2,329,243.347,32.751,60.666,72.058,67.14,
MmAk,F2,330,242.083,37.5,69.007,76.559,73.845,
MmAk,F2,331,233.005,45.756,83.709,93.489,79.947,
MmAk,F2,332,216.13,31.254,68.004,77.062,66.703,
MmAk,F2,333,216.63,31.251,59.576,71.341,62.311,
MmAk,F2,334,216.631,27.334,59.229,66.375,56.052,
MmAk,F2,335,216.255,43.001,82.818,95.117,80.056,
MmAk,F2,336,216.741,33.004,59.91,71.768,63.803,fork tail
MmAk,F2,337,218.505,44.333,81.647,91.761,76.929,fan tail
MmAk,F2,338,217.083,39.036,66.177,77.754,71.858,
MmAk,F2,339,217.481,40.567,69.925,81.553,71.7,
MmAk,F2,340,217.001,49.523,91.543,99.444,77.981,
MmAk,F2,341,216.021,38.172,62.883,74.391,61.753,
MmAk,F2,342,217.009,44.302,69.441,87.947,73.94,fork tail
MmAk,F2,343,216.002,42.961,81.543,98.702,86.434,
MmAk,F2,344,215.017,37.563,70.329,81.979,63.955,
MmAk,F2,345,216.598,35.889,66.388,78.347,64.783,
MmAk,F2,346,218.092,36.652,72.114,84.986,69.583,
MmAk,F2,347,216.209,33.869,55.515,67.66,44.833,
MmAk,F2,348,217.058,38.255,59.677,73.721,58.384,
MmAk,F2,349,217.426,42.375,75.36,88.574,70.81,
MmAk,F2,350,217.014,42.921,72.823,84.28,69.219,
MmAk,F2,351,217.722,30.893,60.063,69.095,58.484,
MmAk,F2,352,217.147,44.06,77.644,93.057,81.002,
MmAk,F2,368,210.038,41.049,71.5,79.535,69.136,fan tail
MmAk,F2,369,211.602,34.712,67.034,80.406,65.595,
MmAk,F2,370,210.038,28.004,53.471,63.169,52.045,fork tail
MmAk,F2,371,209.439,32.515,66.386,71.541,54.337,fan tail
MmAk,F2,372,211.559,32.876,58.577,61.129,54.877,
MmAk,F2,373,210.026,41.057,68.368,77.983,62.277,fan tail
MmAk,F2,374,211.009,45.256,75.886,83.518,65.183,
MmAk,F2,375,210.262,34,64.222,71.197,57.697,fan tail
MmAk,F2,376,210.156,32.18,57.02,68.323,58.156,
MmAk,F2,377,210.165,41.008,72.339,78.478,62.697,
MmAk,F2,378,246.018,57.814,90.284,107.786,91.638,
MmAk,F2,379,248.202,54.383,91.601,112.812,95.016,
MmAk,F2,380,246.683,49.873,83.31,99.323,81.156,fan tail
MmAk,F2,381,247.051,58.034,100.04,117.631,85.884,fork tail
MmAk,F2,382,248.163,53.558,103.501,121.912,53.558,fan tail
MmAk,F2,383,247.55,38.668,71.396,78.658,58.926,fan tail
MmAk,F2,384,247.525,44.345,79.757,93.244,71.855,
MmAk,F2,385,248.699,35.004,82.531,87.91,72.293,
MmAk,F2,386,248.05,37.121,65.344,76.127,56.653,
MmAk,F2,387,249.113,37.352,63.508,78.615,65.501,
MmAk,F2,388,249.002,26.764,53.298,60.746,43.567,
MmAk,F2,389,249.05,37.357,66.041,73.424,53.309,
MmAk,F2,390,250.032,44.767,78.949,87.689,73.859,
MmAk,F2,391,251.597,24.342,54.323,54.934,45.749,
MmAk,F2,392,249.393,32.511,51.033,58.149,39.159,
MmAk,F2,393,250.002,37.879,68.363,78.351,56.608,
MmAk,F2,394,250.018,40.003,71.422,80.934,63.314,
MmAk,F2,395,251.018,38.459,70.783,79.791,73.799,
MmAk,F2,396,250.008,30.667,69.669,71.318,59.57,fan tail
MmAk,F2,397,249.008,33.337,71.428,80.805,57.701,
MmAk,F2,398,248.532,31.668,60.195,69.648,59.64,
MmAk,F2,399,253.002,54.021,93.634,105.776,90.825,
MmAk,F2,400,255.136,43.672,87.052,100.247,71.431,
MmAk,F2,401,256.018,45.481,78.681,86.321,65.147,
MmAk,F2,409,254.283,44.5,78.451,92.333,83.84,fan tail
MmAk,F2,410,253.071,41.022,72.555,85.422,68.599,
MmAk,F2,411,257.018,39.17,76.799,84.146,64.778,
MmAk,F2,412,255.018,44.843,86.112,97.445,71.173,
MmAk,F2,413,256.059,40.525,72.619,85.268,70.35,
MmAk,F2,414,256.502,48.344,94.81,103.198,73.333,"Tail shape was a little weird, almost like a ball?"
MmAk,F2,415,255.008,45.686,80.417,93.308,75.898,
MmAk,F2,416,256.002,45.031,91.12,107.805,90.753,
MmAk,F2,417,258.75,44.322,77.695,91.635,70.018,
MmAk,F2,418,257.503,41.769,73.475,84.407,66.283,
MmAk,F2,419,259.008,55.627,93.419,104.997,82.006,
MmAk,F2,420,256.096,40.519,72.562,79.185,61.633,fan tail
MmAk,F2,421,257.803,55.77,98.606,105.023,81.537,
MmAk,F2,422,259.993,42.925,76.243,89.552,69.723,
MmAk,F2,423,256.281,40.608,82.206,90.234,71.127,fan tail
MmAk,F2,424,260.508,49.334,92.676,103.104,75.813,
MmAk,F2,425,259.548,39.785,68.281,82.257,53.246,
MmAk,F2,426,260.406,45.258,84.929,96.598,78.724,fork tail
MmAk,F2,427,260.127,52.617,89.006,103.211,79.157,
MmAk,F2,428,260.504,41.787,72.584,87.416,69.722,
MmAk,F2,429,261,45.366,79.819,93.411,64.577,
MmAk,F2,430,259.069,38.566,76.119,77.705,54.057,fan tail
MmAk,F2,431,262,37.817,72.478,87.654,69.46,
MmAk,F2,432,259.002,46.503,82.574,92.804,75.725,
MmAk,F2,433,262.718,43.707,78.386,85.579,61.855,
MmAk,F2,434,215.954,29.152,59.135,68.352,53.712,
MmAk,F2,435,264.171,44.515,79.207,91.186,80.29,
MmAk,F2,436,261.885,49.685,98.014,103.325,81.176,
MmAk,F2,437,260.017,44.094,82.7,96.67,68.155,
MmAk,F2,438,216.03,38.053,69.326,79.911,64.3,
MmAk,F2,439,262.53,42.417,77.935,88.917,61.936,
MmAk,F2,440,261.256,44.757,78.678,90.157,72.471,
MmAk,F2,441,261.553,53.029,105.343,114.119,101.184,
