Cross,Generation,ID,photo_standard_pixels,caudal_peduncle_pixels,middle_ray_pixels,longest_ray_pixels,outside_ray_pixels
MmAk,F2,670,464.273,53.2479,80.138,85.311,69.372
MmAk,F2,671,470.069,51.061,93.102,110.898,81.855
MmAk,F2,672,277.985,32.082,43.106,59.381,38.231
MmAk,F2,673,413.956,44.102,85.452,78.836,66.701
MmAk,F2,674,272.022,33.048,39.645,42.23,24.105
MmAk,F2,675,496.922,51.771,97.312,109.281,88.113
MmAk,F2,676,424.989,49.154,85.421,95.853,76.301
MmAk,F2,677,343.079,34.737,69.377,74.225,64.532
MmAk,F2,678,528.143,54.942,95.325,120.718,92.621
MmAk,F2,679,466.106,50.281,91.468,94.574,80.7
MmAk,F2,680,507.164,56.302,89.579,111.067,77.002
MmAk,F2,681,419.099,42.072,84.194,86.311,70.687
MmAk,F2,682,367.152,33.753,70.629,86.238,61.239
MmAk,F2,683,307.112,32.983,59.027,62.852,50
MmAk,F2,700,429.399,41.413,79.41,91.843,67.959
MmAk,F2,701,518.841,48.725,98.032,115.4,92.059
MmAk,F2,702,524.623,58.336,98.97,119.84,89.621
MmAk,F2,703,411.029,44.035,76.818,82.46,70.431
MmAk,F2,713,467.996,46.417,0.274,110.709,76.135
MmAk,F2,714,448.387,46.17,86.61,90.379,65.491
MmAk,F2,715,438.634,46.414,84.569,115.628,74.867
MmAk,F2,716,417.184,44.45,75.58,103.294,72.95
MmAk,F2,717,530.725,60.234,76.51,106.418,57.675
MmAk,F2,718,508.019,60.18,73.372,100.465,60.583
MmAk,F2,719,521.697,48.166,106.921,118.186,92.801
MmAk,F2,307,499.016,54.009,82.608,90.338,68.942
MmAk,F2,308,348.759,34.132,67.007,84.528,64.14
MmAk,F2,309,491.587,52.469,88.278,104.657,79.881
MmAk,F2,310,413.524,55.579,57.28,81.394,52.345
MmAk,F2,311,339.171,36.346,67.186,81.492,52.402
MmAk,F2,312,368.005,37.483,72.443,76.538,43.863
MmAk,F2,313,481.748,60.133,89.269,98.27,66.851
MmAk,F2,314,396.415,42.755,68.71,73.756,50.804
MmAk,F2,315,425.282,41.437,72.801,87.459,65.115
MmAk,F2,316,495.036,53,83.096,93.472,84.971
MmAk,F2,317,412.03,51.039,63.64,75.472,62.008
MmAk,F2,318,541.447,64,102.176,119.202,85.428
MmAk,F2,319,387.072,32.062,70.576,78.6,58
MmAk,F2,320,432.196,45.1,83.361,97.755,64.637
MmAk,F2,321,508.615,54,90.244,109.713,73.6
MmAk,F2,322,431.167,45.177,81.099,94.826,62.682
