Cross,Generation,ID,standard_length,caudal_peduncle_pixels,middle_ray_pixels,longest_ray_pixels,outside_ray_pixels,Notes/Observation
MmAk,F2,652,257.018,42.253,76.774,88.034,69.826,
MmAk,F2,653,258.559,30.501,64.5,74.72,61.423,
MmAk,F2,654,258.002,48.253,83.259,98.199,84.668,
MmAk,F2,655,258.548,41.668,31.918,35.404,29.744,damaged?
MmAk,F2,656,258.359,49.677,90.375,102.441,84.478,
MmAk,F2,657,259.017,47.338,84.583,96.939,76.305,
MmAk,F2,658,259.344,38,70.29,81.02,61.485,
MmAk,F2,659,258.437,27.334,55.46,66.401,39.847,damaged?
MmAk,F2,660,259.069,42.335,72.939,75.465,68.477,
MmAk,F2,661,262.031,43.17,60.267,67.095,54.129,
MmAk,F2,662,263.672,49.5,91.599,107.283,82.314,
MmAk,F2,663,261.031,45.253,79.943,89.75,65.372,
MmAk,F2,664,262.58,38.251,79.373,91.016,63.618,
MmAk,F2,665,262.41,58.75,110.155,135.32,81.396,
MmAk,F2,666,263.517,61.501,108.315,131.839,117.768,
MmAk,F2,667,263.154,58.577,107.858,117.395,99.635,
MmAk,F2,668,263.364,44.478,80.58,84.381,62.107,
MmAk,F2,669,263.517,61.046,108.341,116.099,102.62,
MmAk,F2,670,253.5,46.001,80.025,78.39,86.23,
MmAk,F2,671,236.001,48.352,85.952,99.795,80.947,
MmAk,F2,672,237.508,27.447,35.542,53.448,40.317,damaged?
MmAk,F2,673,237.103,39.001,73.334,78.117,47.052,
MmAk,F2,674,238.002,27.013,39.863,44.767,31.96,damaged?
MmAk,F2,675,236.675,49,85.875,102.507,81.208,
MmAk,F2,676,237.255,41.672,75.103,83.335,72.631,
MmAk,F2,677,239.348,32.668,66.449,71.405,56.066,
MmAk,F2,678,237.635,53.334,95.416,109.845,94.201,
MmAk,F2,679,237.386,45.001,88.796,100.209,78.039,
MmAk,F2,680,238.103,51.001,86.284,101.795,82.511,
MmAk,F2,681,237.969,40.751,75.665,82.659,68.984,
MmAk,F2,682,239.752,35.8,71.47,79.575,62.515,
MmAk,F2,683,239.256,29.251,57.872,59.869,44.29,
MmAk,F2,700,230.035,39.564,79.155,95.664,71.569,
MmAk,F2,701,233.174,53.43,90.802,109.362,84.501,
MmAk,F2,702,232.449,52.236,86.921,100.043,88.881,
MmAk,F2,703,232.422,53.508,95.269,107.494,86.163,
MmAk,F2,713,249.501,46.003,80.252,96.588,80.878,
MmAk,F2,714,247.099,44.268,81.805,100.206,77.674,
MmAk,F2,715,248.585,42.036,78.135,100.266,82.671,
MmAk,F2,716,250.371,40.257,78.058,95.727,57.668,
MmAk,F2,717,251.018,52.001,87.041,112.306,70.624,
MmAk,F2,718,252,52.17,90.099,117.173,93.767,
MmAk,F2,719,253.518,49.191,96.338,129.452,118.626,
MmAk,F2,307,235.306,52.751,76.355,91.738,66.997,
MmAk,F2,308,239.309,30.668,63.837,75.24,59.778,
MmAk,F2,309,237.895,47.011,79.048,95.453,69.754,
MmAk,F2,310,237.609,38.194,69.49,81.61,66.463,
MmAk,F2,311,238.401,30.647,66.592,76.76,62.099,image not CB
MmAk,F2,312,234.12,33.334,64.438,78.415,62.293,
MmAk,F2,313,236.136,48.416,86.268,96.528,79.151,
MmAk,F2,314,237.508,36.26,65.699,84.53,68.087,
MmAk,F2,315,237.513,41.798,74.591,84.464,71.555,
MmAk,F2,316,238.513,51,84.744,102.771,95.945,fan tail
MmAk,F2,317,237.502,41.75,67.812,83.05,72.882,
MmAk,F2,318,236.671,55,98.632,114.785,99.287,
MmAk,F2,319,237.668,37.253,67.439,73.677,64.53,damaged? But does not interfere
MmAk,F2,320,238.383,41.75,82.288,94.698,88.562,
MmAk,F2,321,237.973,50.668,84.571,105.053,96.731,
MmAk,F2,322,239.502,40.679,80.333,90.216,81.247,
MmAk,F2,323,240.588,40.559,77.201,88.503,75.707,
MmAk,F2,324,239.209,43.25,79.26,91.927,84.995,
MmAk,F2,325,240.7,42.25,76.026,84,72.52,Had to use the lower half because there was damage on the upper half
MmAk,F2,326,243.035,43,76.548,93.098,82.449,
MmAk,F2,327,241.019,31.293,66.114,76.716,70.72,
MmAk,F2,328,241.274,41.75,74.653,89.626,81.565,
MmAk,F2,329,243.347,32.751,60.666,72.058,67.14,
MmAk,F2,330,242.083,37.5,69.007,76.559,73.845,
MmAk,F2,331,233.005,45.756,83.709,93.489,79.947,
MmAk,F2,332,216.13,31.254,68.004,77.062,66.703,
MmAk,F2,333,216.63,31.251,59.576,71.341,62.311,
MmAk,F2,334,216.631,27.334,59.229,66.375,56.052,
MmAk,F2,335,216.255,43.001,82.818,95.117,80.056,
MmAk,F2,336,216.741,33.004,59.91,71.768,63.803,fork tail
MmAk,F2,337,218.505,44.333,81.647,91.761,76.929,fan tail
MmAk,F2,338,217.083,39.036,66.177,77.754,71.858,
MmAk,F2,339,217.481,40.567,69.925,81.553,71.7,
MmAk,F2,340,217.001,49.523,91.543,99.444,77.981,
MmAk,F2,341,216.021,38.172,62.883,74.391,61.753,
MmAk,F2,342,217.009,44.302,69.441,87.947,73.94,fork tail
MmAk,F2,343,216.002,42.961,81.543,98.702,86.434,
MmAk,F2,344,215.017,37.563,70.329,81.979,63.955,
MmAk,F2,345,216.598,35.889,66.388,78.347,64.783,
MmAk,F2,346,218.092,36.652,72.114,84.986,69.583,
MmAk,F2,347,216.209,33.869,55.515,67.66,44.833,
MmAk,F2,348,217.058,38.255,59.677,73.721,58.384,
MmAk,F2,349,217.426,42.375,75.36,88.574,70.81,
MmAk,F2,350,217.014,42.921,72.823,84.28,69.219,
MmAk,F2,351,217.722,30.893,60.063,69.095,58.484,
MmAk,F2,352,217.147,44.06,77.644,93.057,81.002,
MmAk,F2,368,210.038,41.049,71.5,79.535,69.136,fan tail
MmAk,F2,369,211.602,34.712,67.034,80.406,65.595,
MmAk,F2,370,210.038,28.004,53.471,63.169,52.045,fork tail
MmAk,F2,371,209.439,32.515,66.386,71.541,54.337,fan tail
MmAk,F2,372,211.559,32.876,58.577,61.129,54.877,
MmAk,F2,373,210.026,41.057,68.368,77.983,62.277,fan tail
MmAk,F2,374,211.009,45.256,75.886,83.518,65.183,
MmAk,F2,375,210.262,34,64.222,71.197,57.697,fan tail
MmAk,F2,376,210.156,32.18,57.02,68.323,58.156,
MmAk,F2,377,210.165,41.008,72.339,78.478,62.697,
MmAk,F2,378,246.018,57.814,90.284,107.786,91.638,
MmAk,F2,379,248.202,54.383,91.601,112.812,95.016,
MmAk,F2,380,246.683,49.873,83.31,99.323,81.156,fan tail
MmAk,F2,381,247.051,58.034,100.04,117.631,85.884,fork tail
MmAk,F2,382,248.163,53.558,103.501,121.912,53.558,fan tail
MmAk,F2,383,247.55,38.668,71.396,78.658,58.926,fan tail
MmAk,F2,384,247.525,44.345,79.757,93.244,71.855,
MmAk,F2,385,248.699,35.004,82.531,87.91,72.293,
MmAk,F2,386,248.05,37.121,65.344,76.127,56.653,
MmAk,F2,387,249.113,37.352,63.508,78.615,65.501,
MmAk,F2,388,249.002,26.764,53.298,60.746,43.567,
MmAk,F2,389,249.05,37.357,66.041,73.424,53.309,
MmAk,F2,390,250.032,44.767,78.949,87.689,73.859,
MmAk,F2,391,251.597,24.342,54.323,54.934,45.749,
MmAk,F2,392,249.393,32.511,51.033,58.149,39.159,
MmAk,F2,393,250.002,37.879,68.363,78.351,56.608,
MmAk,F2,394,250.018,40.003,71.422,80.934,63.314,
MmAk,F2,395,251.018,38.459,70.783,79.791,73.799,
MmAk,F2,396,250.008,30.667,69.669,71.318,59.57,fan tail
MmAk,F2,397,249.008,33.337,71.428,80.805,57.701,
MmAk,F2,398,248.532,31.668,60.195,69.648,59.64,
MmAk,F2,399,253.002,54.021,93.634,105.776,90.825,
MmAk,F2,400,255.136,43.672,87.052,100.247,71.431,
MmAk,F2,401,256.018,45.481,78.681,86.321,65.147,
MmAk,F2,409,254.283,44.5,78.451,92.333,83.84,fan tail
MmAk,F2,410,253.071,41.022,72.555,85.422,68.599,
MmAk,F2,411,257.018,39.17,76.799,84.146,64.778,
