Cross,Generation,ID,photo_standard_pixels,caudal_peduncle_pixels,middle_ray_pixels,longest_ray_pixels,outside_ray_pixels
MmAk,F2,652,260.524,47.127,76.295,90.824,63.285
MmAk,F2,653,257.582,32.016,65.008,72.567,49.041
MmAk,F2,654,472.662,56.223,91.198,95.462,72.111
MmAk,F2,656,498.121,51.01,90.554,102.883,77.492
MmAk,F2,657,445.543,44.011,83.024,88.091,72.111
MmAk,F2,658,409.265,39.013,74.169,84.853,67.268
MmAk,F2,659,292.554,28.443,57.559,64.078,52.355
MmAk,F2,660,422.232,45.044,81.049,78.588,56.356
MmAk,F2,661,406.06,44.181,67.007,68.352,50
MmAk,F2,662,485.783,50,97.129,115.317,81.345
MmAk,F2,663,351.37,34.059,68.118,72.125,52.811
MmAk,F2,664,407.707,38.013,84.006,98.082,76.896
MmAk,F2,665,619.207,65.192,116.559,140.943,109.165
MmAk,F2,666,636.013,63.008,122.066,140.918,119.57
MmAk,F2,667,531.22,64.777,111.072,124.483,105.309
MmAk,F2,668,443.01,49.092,82.098,81.597,53.367
MmAk,F2,669,571.934,60.133,113.283,128.969,97.617
MmAk,F2,670,464.155,53.235,80.025,85.235,69.354
MmAk,F2,671,470.086,51.088,93.059,110.923,81.884
MmAk,F2,672,278.007,32.062,43.081,59.405,38.21
MmAk,F2,673,413.911,45.011,85.475,78.854,66.708
MmAk,F2,674,272.046,33.061,39.623,42.202,24.083
MmAk,F2,675,496.943,51.788,97.329,109.252,88.142
MmAk,F2,676,425.001,49.163,85.376,95.88,76.276
MmAk,F2,677,343.052,34.713,69.354,74.243,64.498
MmAk,F2,678,528.16,54.918,95.336,120.739,92.634
MmAk,F2,679,466.087,50.249,91.444,94.594,80.523
MmAk,F2,680,507.142,56.321,89.56,111.086,76.942
MmAk,F2,681,419.119,42.048,84.214,86.331,70.711
MmAk,F2,682,367.129,33.734,70.605,86.267,61.221
MmAk,F2,683,307.103,33,59.008,62.817,50
MmAk,F2,700,429.377,41.437,79.429,91.788,67.956
MmAk,F2,701,518.818,48.703,98.061,115.378,92.087
MmAk,F2,702,524.645,58.31,98.995,119.817,89.644
MmAk,F2,703,411.052,44.011,76.792,82.462,70.406
MmAk,F2,713,468.017,46.39,0.252,110.725,76.158
MmAk,F2,714,448.361,46.174,86.579,90.355,65.513
MmAk,F2,715,438.657,46.39,84.593,115.603,74.887
MmAk,F2,716,417.203,44.407,75.538,103.315,72.918
MmAk,F2,717,530.745,60.208,76.531,106.438,57.697
MmAk,F2,718,507.993,60.133,73.348,100.439,60.605
MmAk,F2,719,521.697,48.166,106.921,118.186,92.801
MmAk,F2,307,499.016,54.009,82.608,90.338,68.942
MmAk,F2,308,348.759,34.132,67.007,84.528,64.14
MmAk,F2,309,491.587,52.469,88.278,104.657,79.881
MmAk,F2,310,413.524,55.579,57.28,81.394,52.345
MmAk,F2,311,339.171,36.346,67.186,81.492,52.402
MmAk,F2,312,368.005,37.483,72.443,76.538,43.863
MmAk,F2,313,481.748,60.133,89.269,98.27,66.851
MmAk,F2,314,396.415,42.755,68.71,73.756,50.804
MmAk,F2,315,425.282,41.437,72.801,87.459,65.115
MmAk,F2,316,495.036,53,83.096,93.472,84.971
MmAk,F2,317,412.03,51.039,63.64,75.472,62.008
MmAk,F2,318,541.447,64,102.176,119.202,85.428
MmAk,F2,319,387.072,32.062,70.576,78.6,58
MmAk,F2,320,432.196,45.1,83.361,97.755,64.637
MmAk,F2,321,508.615,54,90.244,109.713,73.6
MmAk,F2,322,431.167,45.177,81.099,94.826,62.682
MmAk,F2,323,438.406,52.173,75.928,91.831,62.29
MmAk,F2,324,459.132,53.038,81.056,101.213,71.561
MmAk,F2,325,432.094,45.1,80,97.406,73.007
MmAk,F2,326,439.769,48.042,77.414,91.417,59.034
MmAk,F2,327,354.109,36.014,69,83.528,50.774
MmAk,F2,328,448.308,57.07,74.733,92.005,58.138
MmAk,F2,329,346.831,35,64.498,76.059,46.228
