ID,Standard Length,Caudal Peduncle,1st Ray,3rd Ray,5th Ray,8th Ray,Notes
307,236.31,53.75,64.45,85.65,88.7,81.92,
308,242.74,34.57,73.31,78.15,75.84,66.04,
309,246.46,47.17,84.45,95.32,89.19,83.8,
310,235.36,40.62,73.3,81.53,82.28,70.72,
311,234.31,31.04,65.86,71.61,68.39,60.14,
312,241.13,36,60.48,78.22,79.01,67.66,
313,232.14,48.38,95.93,95.72,97.53,86.34,
314,239.02,37.01,81.16,85.37,81.38,72.9,
315,238,42.96,79.09,85.47,81.88,73.65,
316,237.05,49.42,86.23,95.33,84.32,82.41,
317,234,43,70.09,77.53,67.05,60.92,
318,236.21,52.33,84.71,102.32,98.25,90.75,
319,241,38.67,75.33,76.85,67.81,65.66,damage
320,235.31,43.01,89.82,95,86.73,79.72,
321,239.35,51,89.82,97.69,94.53,85.9,
322,246.34,43.03,81.68,90.16,82.19,77.34,
323,246.05,43.63,83.05,89.22,86.46,78.61,
324,240.25,45.75,93.47,94.5,89.48,80.84,
325,237.01,43.34,82.36,94.24,83.23,76.89,
326,244,43.35,82.16,91.26,83.4,76.72,
327,241.01,34.53,72.42,78.11,72.63,69.45,
328,247.03,39.88,85.04,94.53,86.56,76.97,
329,241.03,32,59.68,66.36,63.69,58.9,
330,243.03,37.16,74.07,77.57,72.18,70.58,
331,232.02,45.48,92.93,93.08,89.68,86.6,
332,219.04,35.37,76.11,76.14,69.11,67.18,
333,218.11,33,65.36,70.43,64.31,59.05,
334,216.02,29,62.33,67.95,61.76,56.82,
335,218.39,45.04,84.73,97.17,92.49,86.06,
336,219.11,30.67,64.18,69.94,65.73,60.23,
337,225.04,41.75,94.04,93.08,85.95,83.42,
338,224.25,39,68.45,79.31,78.74,69,
339,222.27,41.01,58.93,80.64,81.55,74,
340,228.04,47.38,92.78,106.36,96.52,92.17,
341,232.08,35.75,69.64,77.4,73.15,67.09,
342,224.08,40.03,80.43,88.86,85.55,74.81,
343,217,44.85,90.24,100.05,95.28,83.25,
344,219,37.26,79.54,82.22,76.48,73.05,
345,220.23,35,76.07,74.59,70.59,67.36,
346,222.38,38.86,89.11,88.47,86.51,77.67,
347,222.27,32.5,65.74,67.88,64.91,64.23,
348,218.04,34.5,64.31,70.29,67.59,62.25,
349,231.31,39.03,81.19,89.23,81.68,72.18,
350,218.01,42.07,78.86,86.23,78.59,78.91,
351,212.91,28.07,65.3,68.61,65.93,58.55,
352,218.15,39.69,90.61,92.31,86.14,77.38,
368,216.01,46.31,71.17,78.6,76.5,75.85,
369,216.59,34.92,68.13,73.97,75.03,70.72,
370,209.06,27.03,62.31,64.18,61.88,57.65,
371,209.06,34.25,45.89,71.08,70.2,66.96,
372,208.09,32.67,59.22,65.14,61.24,56.52,
373,210,40.25,59.52,76.79,79.46,65.73,
374,214,44.75,68.99,81,87.84,76.55,
375,214.46,33.69,71.89,71.56,70.73,64.28,
376,210.4,32.42,60.12,72.53,63.76,60.76,
377,211.4,42.02,67.1,81.98,73.67,71.87,
378,251.1,55.08,96.2,108.3,101.52,88.26,
379,251.01,55.59,88.2,105.53,92.44,83.19,
380,251.03,50.67,90.05,98.45,91.92,87,
381,249.01,57.58,90.21,117.22,113.63,104.19,
382,258.07,52.65,100.15,114.48,108.66,95.21,
383,252.16,40.01,65.82,74.85,73.26,69.51,
384,250.13,45.04,83.61,91.53,85.41,78.64,
385,248.01,39.69,81.24,80.17,78.3,77.35,
386,249.42,34.51,61.65,70.05,66.04,63.77,
387,250.01,38.39,72.01,81.05,78.29,68.25,
388,258.05,26.25,51.99,60.26,57.59,52.01,
389,258.02,32.91,72.11,73.14,71.45,66.7,
390,256.03,39.76,83.45,88.48,82.83,79.01,
391,257.02,23.33,58.62,55.77,52.17,52.39,
392,254.16,33.31,66.26,67.07,56.27,55.54,
393,259,36.34,74.15,79.92,72.04,69.01,
394,254.16,39.35,80,87.06,79.17,72.25,
395,254.28,38.43,78.35,73.71,65.9,70.84,
396,256.05,31.29,70.04,73.46,67.04,67.38,
397,257.01,34.5,71.68,73.39,71.64,67.03,
398,250.02,31.05,63.62,68.32,68.32,59.25,
399,262.67,54.67,108.33,103.87,102.38,95.47,
